,Year,Life Expectancy
0,1945,38.21
1,1946,45.13
2,1947,48.15
3,1948,50.67
4,1949,52.19
5,1950,53.7
6,1951,54.05
7,1952,54.72
8,1953,55.39
9,1954,56.06
10,1955,56.72
11,1956,57.37
12,1957,58.01
13,1958,58.65
14,1959,59.27
15,1960,59.89
16,1961,60.48
17,1962,61.07
18,1963,61.63
19,1964,62.17
20,1965,62.71
21,1966,63.21
22,1967,63.7
23,1968,64.17
24,1969,64.63
25,1970,65.08
26,1971,65.51
27,1972,65.93
28,1973,66.34
29,1974,66.73
30,1975,67.13
31,1976,67.5
32,1977,67.86
33,1978,68.21
34,1979,68.56
35,1980,68.89
36,1981,69.22
37,1982,69.53
38,1983,69.84
39,1984,70.14
40,1985,70.45
41,1986,70.73
42,1987,71.01
43,1988,71.28
44,1989,71.54
45,1990,71.8
46,1991,72.0
47,1992,72.2
48,1993,72.4
49,1994,72.4
50,1995,72.4
51,1996,72.5
52,1997,72.8
53,1998,73.0
54,1999,73.1
55,2000,73.3
56,2001,73.6
57,2002,73.8
58,2003,73.9
59,2004,74.0
60,2005,74.3
61,2006,74.5
62,2007,74.5
63,2008,74.5
64,2009,74.3
65,2010,74.4
66,2011,74.6
67,2012,74.7
68,2013,74.9
69,2014,75.1
70,2015,75.3
71,2016,75.5
