,Year,Life Expectancy
0,1945,30.54
1,1946,46.5
2,1947,51.74
3,1948,56.88
4,1949,57.75
5,1950,59.29
6,1951,60.98
7,1952,63.02
8,1953,63.36
9,1954,64.6
10,1955,65.76
11,1956,65.62
12,1957,65.49
13,1958,67.11
14,1959,67.49
15,1960,67.78
16,1961,68.43
17,1962,68.71
18,1963,69.79
19,1964,70.26
20,1965,70.31
21,1966,71.12
22,1967,71.41
23,1968,71.73
24,1969,71.96
25,1970,72.05
26,1971,72.87
27,1972,73.39
28,1973,73.45
29,1974,73.88
30,1975,74.38
31,1976,74.78
32,1977,75.35
33,1978,75.67
34,1979,76.18
35,1980,76.16
36,1981,76.57
37,1982,77.08
38,1983,77.11
39,1984,77.5
40,1985,77.8
41,1986,78.22
42,1987,78.63
43,1988,78.54
44,1989,78.97
45,1990,79.0
46,1991,79.1
47,1992,79.3
48,1993,79.4
49,1994,79.8
50,1995,79.7
51,1996,80.2
52,1997,80.4
53,1998,80.5
54,1999,80.6
55,2000,81.0
56,2001,81.3
57,2002,81.6
58,2003,81.7
59,2004,81.9
60,2005,82.0
61,2006,82.2
62,2007,82.4
63,2008,82.5
64,2009,82.7
65,2010,82.7
66,2011,82.6
67,2012,82.9
68,2013,83.0
69,2014,83.1
70,2015,83.2
71,2016,83.3
